date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:26	43114/43114	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:47%20GMT	http://dingleberry.me/tag/monitoring/	./dingleberry/dingleberry.me/tag/monitoring/index.html	(from http://dingleberry.me/)
11:22:28	155/155	---M--	200	added ('OK')	image/gif	etag:%2248e3b122-9b%22	http://dingleberry.me/wp-content/themes/quadstripe/images/blue-side.gif	./dingleberry/dingleberry.me/wp-content/themes/quadstripe/images/blue-side.gif	(from http://dingleberry.me/wp-content/themes/quadstripe/blue.css)
11:22:28	21290/21290	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:47%20GMT	http://dingleberry.me/tag/testdisk/	./dingleberry/dingleberry.me/tag/testdisk/index.html	(from http://dingleberry.me/)
11:22:28	21298/21298	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:47%20GMT	http://dingleberry.me/tag/superblock/	./dingleberry/dingleberry.me/tag/superblock/index.html	(from http://dingleberry.me/)
11:22:28	40716/40716	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:47%20GMT	http://dingleberry.me/2014/03/running-nagiosplugins-via-saltstacks-peer-communication/	./dingleberry/dingleberry.me/2014/03/running-nagiosplugins-via-saltstacks-peer-communication/index.html	(from http://dingleberry.me/)
11:22:28	945/945	---M--	200	added ('OK')	image/gif	etag:%2248e3b122-3b1%22	http://dingleberry.me/wp-content/themes/quadstripe/images/blue-search.gif	./dingleberry/dingleberry.me/wp-content/themes/quadstripe/images/blue-search.gif	(from http://dingleberry.me/wp-content/themes/quadstripe/blue.css)
11:22:29	21022/21022	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:51%20GMT	http://dingleberry.me/tag/zmq/	./dingleberry/dingleberry.me/tag/zmq/index.html	(from http://dingleberry.me/)
11:22:29	43471/43471	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:51%20GMT	http://dingleberry.me/tag/nagios/	./dingleberry/dingleberry.me/tag/nagios/index.html	(from http://dingleberry.me/)
11:22:31	956/956	---M--	200	added ('OK')	image/gif	etag:%2248e3b122-3bc%22	http://dingleberry.me/wp-content/themes/quadstripe/images/blue-submit.gif	./dingleberry/dingleberry.me/wp-content/themes/quadstripe/images/blue-submit.gif	(from http://dingleberry.me/wp-content/themes/quadstripe/blue.css)
11:22:31	38570/38570	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:51%20GMT	http://dingleberry.me/2013/11/running-nagios-plugins-via-saltstack/	./dingleberry/dingleberry.me/2013/11/running-nagios-plugins-via-saltstack/index.html	(from http://dingleberry.me/)
11:22:31	21026/21026	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:51%20GMT	http://dingleberry.me/tag/nrpe/	./dingleberry/dingleberry.me/tag/nrpe/index.html	(from http://dingleberry.me/)
11:22:31	21888/21888	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:52%20GMT	http://dingleberry.me/tag/icinga/	./dingleberry/dingleberry.me/tag/icinga/index.html	(from http://dingleberry.me/)
11:22:32	26242/26242	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:54%20GMT	http://dingleberry.me/tag/plugins/	./dingleberry/dingleberry.me/tag/plugins/index.html	(from http://dingleberry.me/)
11:22:34	37588/37588	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:54%20GMT	http://dingleberry.me/2012/09/how-a-nerd-monitors-his-wifes-weight/	./dingleberry/dingleberry.me/2012/09/how-a-nerd-monitors-his-wifes-weight/index.html	(from http://dingleberry.me/)
11:22:34	21646/21646	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:54%20GMT	http://dingleberry.me/tag/api/	./dingleberry/dingleberry.me/tag/api/index.html	(from http://dingleberry.me/)
11:22:34	21670/21670	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:54%20GMT	http://dingleberry.me/tag/bodyscale/	./dingleberry/dingleberry.me/tag/bodyscale/index.html	(from http://dingleberry.me/)
11:22:34	21658/21658	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:55%20GMT	http://dingleberry.me/tag/python/	./dingleberry/dingleberry.me/tag/python/index.html	(from http://dingleberry.me/)
11:22:34	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2252ea5a40-9f1%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/loading.gif	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/loading.gif	(from http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3)
11:22:35	33654/33654	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:57%20GMT	http://dingleberry.me/2011/05/gzip-support-in-check_http/	./dingleberry/dingleberry.me/2011/05/gzip-support-in-check_http/index.html	(from http://dingleberry.me/)
11:22:36	21666/21666	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:57%20GMT	http://dingleberry.me/tag/withings/	./dingleberry/dingleberry.me/tag/withings/index.html	(from http://dingleberry.me/)
11:22:37	255/255	---M--	200	added ('OK')	image/png	etag:%2252ea5a40-ff%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/close.png	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/close.png	(from http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3)
11:22:37	20627/20627	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:57%20GMT	http://dingleberry.me/tag/1-4-15/	./dingleberry/dingleberry.me/tag/1-4-15/index.html	(from http://dingleberry.me/)
11:22:37	21650/21650	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:57%20GMT	http://dingleberry.me/tag/wife/	./dingleberry/dingleberry.me/tag/wife/index.html	(from http://dingleberry.me/)
11:22:37	22097/22097	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:58%20GMT	http://dingleberry.me/tag/check_http/	./dingleberry/dingleberry.me/tag/check_http/index.html	(from http://dingleberry.me/)
11:22:38	20619/20619	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:00%20GMT	http://dingleberry.me/tag/gzip/	./dingleberry/dingleberry.me/tag/gzip/index.html	(from http://dingleberry.me/)
11:22:38	20215/20215	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:00%20GMT	http://dingleberry.me/tag/insults/	./dingleberry/dingleberry.me/tag/insults/index.html	(from http://dingleberry.me/)
11:22:39	33524/33524	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:00%20GMT	http://dingleberry.me/2011/04/fun-with-sudo/	./dingleberry/dingleberry.me/2011/04/fun-with-sudo/index.html	(from http://dingleberry.me/)
11:22:40	248/248	---M--	200	added ('OK')	image/png	etag:%2252ea5a40-f8%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/next.png	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/next.png	(from http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3)
11:22:40	23672/23672	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:00%20GMT	http://dingleberry.me/tag/funny/	./dingleberry/dingleberry.me/tag/funny/index.html	(from http://dingleberry.me/)
11:22:41	20203/20203	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:02%20GMT	http://dingleberry.me/tag/sudo/	./dingleberry/dingleberry.me/tag/sudo/index.html	(from http://dingleberry.me/)
11:22:41	40437/40437	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:02%20GMT	http://dingleberry.me/2011/02/monitor-dell-servers-on-debian-squeeze-with-nagios/	./dingleberry/dingleberry.me/2011/02/monitor-dell-servers-on-debian-squeeze-with-nagios/index.html	(from http://dingleberry.me/)
11:22:42	41295/41295	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:03%20GMT	http://dingleberry.me/tag/debian/	./dingleberry/dingleberry.me/tag/debian/index.html	(from http://dingleberry.me/)
11:22:42	237/237	---M--	200	added ('OK')	image/png	etag:%2252ea5a40-ed%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/src/previous.png	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/src/previous.png	(from http://dingleberry.me/wp-content/uploads/shadowbox-js/src/shadowbox.css?ver=3.0.3)
11:22:42	28228/28228	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:03%20GMT	http://dingleberry.me/tag/dell/	./dingleberry/dingleberry.me/tag/dell/index.html	(from http://dingleberry.me/)
11:22:43	21664/21664	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:05%20GMT	http://dingleberry.me/tag/dellomsa/	./dingleberry/dingleberry.me/tag/dellomsa/index.html	(from http://dingleberry.me/)
11:22:43	20032/20032	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:05%20GMT	http://dingleberry.me/tag/minicom/	./dingleberry/dingleberry.me/tag/minicom/index.html	(from http://dingleberry.me/)
11:22:44	21660/21660	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:05%20GMT	http://dingleberry.me/tag/squeeze/	./dingleberry/dingleberry.me/tag/squeeze/index.html	(from http://dingleberry.me/)
